,0
1939.SKBTI.1222,20006.0
1939.SKBTI.1127,19972.0
1939.SKBTI.1305,19971.0
1939.SKBTI.1200,19960.0
1939.SKBTI.1248,19877.0
1939.SKBTI.1089,19858.0
1939.SKBTI.0997,19855.0
1939.SKBTI.1249,19823.0
1939.SKBTI.1177,19819.0
1939.SKBTI.1094,19753.0
1939.SKBTI.1036,19707.0
1939.SKBTI.1255,19681.0
1939.SKBTI.1057,19668.0
1939.SKBTI.1031,19615.0
1939.121445,19612.0
1939.SKBTI.0556,19601.0
1939.SKBTI078,19530.0
1939.122058,19491.0
1939.SKBTI.1136,19472.0
1939.SKBTI.1009,19455.0
1939.SKBTI.1266,19452.0
1939.SKBTI.0961,19445.0
1939.SKBTI.0928,19402.0
1939.SKBTI.1204,19387.0
1939.SKBTI.1063,19386.0
1939.SKBTI.1207,19377.0
1939.SKBTI060,19369.0
1939.SKBTI.0664,19354.0
1939.SKBTI.1333,19346.0
1939.SKBTI.0304,19323.0
1939.SKBTI.1196,19266.0
1939.SKBTI.0493,19221.0
1939.SKBTI.1263,19154.0
1939.SKBTI.1261,19126.0
1939.SKBTI032,19112.0
1939.SKBTI.0497,19110.0
1939.SKBTI.1269,19074.0
1939.SKBTI.1310,19052.0
1939.121498,19040.0
1939.SKBTI.0985,19016.0
1939.SKBTI.0207,18974.0
1939.SKBTI.0147,18944.0
1939.121448,18930.0
1939.SKBTI.1004,18899.0
1939.SKBTI.1011,18866.0
1939.SKBTI.1099,18860.0
1939.SKBTI.0256.a,18771.0
1939.SKBTI.1144,18766.0
1939.121314,18760.0
1939.SKBTI.1314,18747.0
1939.SKBTI.1246,18718.0
1939.100158,18700.0
1939.100190,18681.0
1939.SKBTI.0870,18653.0
1939.SKBTI.0198.a,18587.0
1939.SKBTI.1291,18562.0
1939.SKBTI.0247,18541.0
1939.SKBTI.0281,18540.0
1939.SKBTI059,18534.0
1939.SKBTI.1104,18528.0
1939.121469,18525.0
1939.SKBTI.0108,18513.0
1939.SKBTI.0499,18504.0
1939.SKBTI.1268,18449.0
1939.SKBTI.0983,18443.0
1939.SKBTI.1081,18386.0
1939.SKBTI.0969,18317.0
1939.SKBTI.0600,18316.0
1939.SKBTI.1174,18308.0
1939.SKBTI.0283,18305.0
1939.SKBTI.0263,18293.0
1939.SKBTI.0998,18285.0
1939.SKBTI.1077,18269.0
1939.SKBTI.1272,18232.0
1939.SKBTI.1279,18232.0
1939.SKBTI.1253,18221.0
1939.SKBTI.1069,18214.0
1939.121451,18193.0
1939.SKBTI.0674,18145.0
1939.SKBTI.1344,18132.0
1939.SKBTI.0142,18110.0
1939.SKBTI.0262.b,18055.0
1939.SKBTI.0871,17981.0
1939.SKBTI.1148,17977.0
1939.SKBTI.0253.a,17954.0
1939.SKBTI.1032,17941.0
1939.121405,17889.0
1939.SKBTI.1283,17856.0
1939.SKBTI011,17802.0
1939.SKBTI.0212,17802.0
1939.SKBTI.1309,17778.0
1939.SKBTI.1124,17773.0
1939.122053.b,17769.0
1939.SKBTI.0488,17734.0
1939.SKBTI.1019,17719.0
1939.100181,17717.0
1939.SKBTI.0213.a,17716.0
1939.SKBTI.0678,17713.0
1939.SKBTI016,17709.0
1939.SKBTI.1303,17701.0
1939.100182,17687.0
1939.SKBTI.1175,17678.0
1939.SKBTI.0940,17605.0
1939.SKBTI.0869,17564.0
1939.122034.a,17560.0
1939.SKBTI.1354,17556.0
1939.SKBTI055,17550.0
1939.SKBTI.1138,17549.0
1939.SKBTI.0881,17538.0
1939.SKBTI.0444,17527.0
1939.SKBTI.0583,17481.0
1939.SKBTI.1024,17453.0
1939.122001,17439.0
1939.SKBTI.1311,17428.0
1939.SKBTI048,17397.0
1939.SKBTI.1256,17379.0
1939.SKBTI.0266,17317.0
1939.122032,17305.0
1939.SKBTI062.b,17296.0
1939.SKBTI.0279,17253.0
1939.122038,17228.0
1939.SKBTI.0240,17218.0
1939.SKBTI.0758,17087.0
1939.SKBTI.1206,17087.0
1939.SKBTI.1058,17087.0
1939.121499,17004.0
1939.121954.a,16998.0
1939.SKBTI.1340,16971.0
1939.SKBTI095,16967.0
1939.121971,16953.0
1939.122057.a,16890.0
1939.SKBTI.0585,16786.0
1939.SKBTI.0888,16778.0
1939.SKBTI.0591,16660.0
1939.SKBTI.1228,16595.0
1939.SKBTI.0912,16577.0
1939.SKBTI014,16562.0
1939.SKBTI.1007,16552.0
1939.122164.a,16549.0
1939.SKBTI.0884,16528.0
1939.SKBTI.1042,16527.0
1939.SKBTI070,16525.0
1939.SKBTI.0209.b,16499.0
1939.122061.a,16425.0
1939.SKBTI.0942,16415.0
1939.SKBTI.1258,16382.0
1939.SKBTI.0163,16257.0
1939.122115.a,16250.0
1939.SKBTI071,16229.0
1939.SKBTI.1162,16189.0
1939.121421,16139.0
1939.SKBTI.1034,16138.0
1939.SKBTI.0910,16106.0
1939.SKBTI.1312,15963.0
1939.SKBTI.0254.b,15915.0
1939.SKBTI.0980,15893.0
1939.121982,15872.0
1939.SKBTI.1324,15767.0
1939.SKBTI.1209,15764.0
1939.SKBTI.1145,15742.0
1939.SKBTI.1100,15741.0
1939.SKBTI.0877,15735.0
